file,original_file,date,file_type,min_temp,max_temp,mean_temp,std_temp,valid_pixels,total_pixels,coverage,city
F:\Urban\UHI_MIGITAGION_PLANNER-\data\processed\pune\processed\pune_lst_2025-081_hdf.tif,F:\Urban\UHI_MIGITAGION_PLANNER-\data\processed\pune\raw\MOD11A2.A2025081.h25v06.061.2025092134742.hdf,2025-081,HDF,-25.829999999999984,44.75000000000006,29.866174834242106,8.658201916547785,1439901,1440000,0.99993125,pune
F:\Urban\UHI_MIGITAGION_PLANNER-\data\processed\pune\processed\pune_lst_2025-073_hdf.tif,F:\Urban\UHI_MIGITAGION_PLANNER-\data\processed\pune\raw\MOD11A2.A2025073.h25v06.061.2025085123152.hdf,2025-073,HDF,-29.08999999999997,42.25000000000006,27.852412243554397,9.663596022551436,1436903,1440000,0.9978493055555556,pune
F:\Urban\UHI_MIGITAGION_PLANNER-\data\processed\pune\processed\pune_lst_2025-065_hdf.tif,F:\Urban\UHI_MIGITAGION_PLANNER-\data\processed\pune\raw\MOD11A2.A2025065.h25v06.061.2025074035051.hdf,2025-065,HDF,-24.94999999999996,42.93000000000001,26.184814394836938,9.772731247926776,1418064,1440000,0.9847666666666668,pune
F:\Urban\UHI_MIGITAGION_PLANNER-\data\processed\pune\processed\pune_lst_2025-057_hdf.tif,F:\Urban\UHI_MIGITAGION_PLANNER-\data\processed\pune\raw\MOD11A2.A2025057.h25v06.061.2025066040011.hdf,2025-057,HDF,-29.649999999999977,40.07000000000005,23.548917878867503,9.366968257066768,1439118,1440000,0.9993875,pune
F:\Urban\UHI_MIGITAGION_PLANNER-\data\processed\pune\processed\pune_lst_2025-049_hdf.tif,F:\Urban\UHI_MIGITAGION_PLANNER-\data\processed\pune\raw\MOD11A2.A2025049.h25v06.061.2025058212040.hdf,2025-049,HDF,-31.58999999999997,38.27000000000004,21.735284511263664,10.281419035009318,1425339,1440000,0.98981875,pune
F:\Urban\UHI_MIGITAGION_PLANNER-\data\processed\pune\processed\pune_lst_2025-041_hdf.tif,F:\Urban\UHI_MIGITAGION_PLANNER-\data\processed\pune\raw\MOD11A2.A2025041.h25v06.061.2025050225138.hdf,2025-041,HDF,-33.069999999999965,36.63000000000005,21.041324593527584,9.026137418901069,1427034,1440000,0.9909958333333332,pune
F:\Urban\UHI_MIGITAGION_PLANNER-\data\processed\pune\processed\pune_lst_2025-033_hdf.tif,F:\Urban\UHI_MIGITAGION_PLANNER-\data\processed\pune\raw\MOD11A2.A2025033.h25v06.061.2025043074553.hdf,2025-033,HDF,-25.529999999999973,34.73000000000002,20.31960488757012,7.580603244524986,1418128,1440000,0.9848111111111112,pune
F:\Urban\UHI_MIGITAGION_PLANNER-\data\processed\pune\processed\pune_lst_2025-025_hdf.tif,F:\Urban\UHI_MIGITAGION_PLANNER-\data\processed\pune\raw\MOD11A2.A2025025.h25v06.061.2025035205053.hdf,2025-025,HDF,-23.829999999999984,33.59000000000003,19.15637033067864,7.824279651478219,1362350,1440000,0.9460763888888888,pune
F:\Urban\UHI_MIGITAGION_PLANNER-\data\processed\pune\processed\pune_lst_2025-017_hdf.tif,F:\Urban\UHI_MIGITAGION_PLANNER-\data\processed\pune\raw\MOD11A2.A2025017.h25v06.061.2025030194519.hdf,2025-017,HDF,-27.08999999999997,31.930000000000007,18.766609423850287,7.8149498131880275,1381134,1440000,0.9591208333333332,pune
F:\Urban\UHI_MIGITAGION_PLANNER-\data\processed\pune\processed\pune_lst_2025-009_hdf.tif,F:\Urban\UHI_MIGITAGION_PLANNER-\data\processed\pune\raw\MOD11A2.A2025009.h25v06.061.2025022121529.hdf,2025-009,HDF,-39.369999999999976,29.33000000000004,16.138608789492153,7.979382633303009,1281553,1440000,0.8899673611111111,pune
